#ID,２Ｄ演出,３Ｄ演出,,,,,機能1,,,,,,,,,,,,,,,,,,,,,,,,
#,２D演出スクリプト,３D演出カットインスクリプト,３D演出プレイリスト,着弾エフェクト,着弾位置,チャージ演出プレイリスト,タイプ,ターゲット,自身除く,火,氷,風,光,闇,土,雷,水,無,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8,パラメータ9,パラメータ10,デッキコンボ倍率使用,ヘイト上限,
60000612,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,INT,0,0,,1,10000,
60000613,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,INT,0,0,,1,10000,
60000621,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,INT,0,0,,1,10000,
60000622,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,INT,0,0,,1,10000,
60000623,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,INT,0,0,,1,10000,
60000631,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,INT,0,0,,1,10000,
60000632,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,INT,0,0,,1,10000,
60000633,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,INT,0,0,,1,10000,
60000641,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,INT,0,0,,1,10000,
60000642,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,INT,0,0,,1,10000,
60000643,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,INT,0,0,,1,10000,
60000651,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,ATK,0,0,,1,10000,
60000651,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,INT,0,0,,1,10000,
60000652,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,ATK,0,0,,1,10000,
60000652,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,INT,0,0,,1,10000,
60000653,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,ATK,0,0,,1,10000,
60000653,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,INT,0,0,,1,10000,
60000661,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,ATK,0,0,,1,10000,
60000661,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,INT,0,0,,1,10000,
60000662,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,ATK,0,0,,1,10000,
60000662,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,INT,0,0,,1,10000,
60000663,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,ATK,0,0,,1,10000,
60000663,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,INT,0,0,,1,10000,
60000671,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,ATK,0,0,,1,10000,
60000671,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,INT,0,0,,1,10000,
60000672,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,ATK,0,0,,1,10000,
60000672,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,INT,0,0,,1,10000,
60000673,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,ATK,0,0,,1,10000,
60000673,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,INT,0,0,,1,10000,
60000681,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,ATK,0,0,,1,10000,
60000681,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,INT,0,0,,1,10000,
60000682,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,ATK,0,0,,1,10000,
60000682,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,INT,0,0,,1,10000,
60000683,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,ATK,0,0,,1,10000,
60000683,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,INT,0,0,,1,10000,
60000691,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,ATK,0,0,,1,10000,
60000691,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,INT,0,0,,1,10000,
60000692,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,ATK,0,0,,1,10000,
60000692,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,INT,0,0,,1,10000,
60000693,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,ATK,0,0,,1,10000,
60000693,,,,,,,ATK_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,INT,0,0,,1,10000,
60000701,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,DEF,0,0,,1,10000,
60000702,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,DEF,0,0,,1,10000,
60000703,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,FIRE,DEF,0,0,,1,10000,
60000711,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,DEF,0,0,,1,10000,
60000712,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,DEF,0,0,,1,10000,
60000713,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,DEF,0,0,,1,10000,
60000721,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,DEF,0,0,,1,10000,
60000722,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,DEF,0,0,,1,10000,
60000723,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,DEF,0,0,,1,10000,
60000731,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,DEF,0,0,,1,10000,
60000732,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,DEF,0,0,,1,10000,
60000733,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,DEF,0,0,,1,10000,
60000741,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,DEF,0,0,,1,10000,
60000742,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,DEF,0,0,,1,10000,
60000743,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,DEF,0,0,,1,10000,
60000751,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,MDEF,0,0,,1,10000,
60000752,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,MDEF,0,0,,1,10000,
60000753,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,FIRE,MDEF,0,0,,1,10000,
60000761,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,MDEF,0,0,,1,10000,
60000762,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,MDEF,0,0,,1,10000,
60000763,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,ICE,MDEF,0,0,,1,10000,
60000771,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,MDEF,0,0,,1,10000,
60000772,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,MDEF,0,0,,1,10000,
60000773,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,WIND,MDEF,0,0,,1,10000,
60000781,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,MDEF,0,0,,1,10000,
60000782,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,MDEF,0,0,,1,10000,
60000783,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,LIGHT,MDEF,0,0,,1,10000,
60000791,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,MDEF,0,0,,1,10000,
60000792,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,MDEF,0,0,,1,10000,
60000793,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,50,,DARK,MDEF,0,0,,1,10000,
60000801,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,DEF,0,0,,1,10000,
60000801,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,FIRE,MDEF,0,0,,1,10000,
60000802,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,DEF,0,0,,1,10000,
60000802,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,MDEF,0,0,,1,10000,
60000803,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,DEF,0,0,,1,10000,
60000803,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,FIRE,MDEF,0,0,,1,10000,
60000811,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,DEF,0,0,,1,10000,
60000811,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,ICE,MDEF,0,0,,1,10000,
60000812,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,DEF,0,0,,1,10000,
60000812,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,MDEF,0,0,,1,10000,
60000813,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,DEF,0,0,,1,10000,
60000813,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,ICE,MDEF,0,0,,1,10000,
60000821,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,DEF,0,0,,1,10000,
60000821,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,WIND,MDEF,0,0,,1,10000,
60000822,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,DEF,0,0,,1,10000,
60000822,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,MDEF,0,0,,1,10000,
60000823,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,DEF,0,0,,1,10000,
60000823,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,WIND,MDEF,0,0,,1,10000,
60000831,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,DEF,0,0,,1,10000,
60000831,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,LIGHT,MDEF,0,0,,1,10000,
60000832,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,DEF,0,0,,1,10000,
60000832,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,MDEF,0,0,,1,10000,
60000833,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,DEF,0,0,,1,10000,
60000833,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,LIGHT,MDEF,0,0,,1,10000,
60000841,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,DEF,0,0,,1,10000,
60000841,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,5,,DARK,MDEF,0,0,,1,10000,
60000842,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,DEF,0,0,,1,10000,
60000842,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,MDEF,0,0,,1,10000,
60000843,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,DEF,0,0,,1,10000,
60000843,,,,,,,GUARD_BREAK_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,20,,DARK,MDEF,0,0,,1,10000,
60000851,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,FIRE,0,0,,,1,10000,
60000852,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,15,,FIRE,0,0,,,1,10000,
60000853,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,FIRE,0,0,,,1,10000,
60000861,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,ICE,0,0,,,1,10000,
60000862,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,15,,ICE,0,0,,,1,10000,
60000863,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,ICE,0,0,,,1,10000,
60000871,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,WIND,0,0,,,1,10000,
60000872,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,15,,WIND,0,0,,,1,10000,
60000873,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,WIND,0,0,,,1,10000,
60000881,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,LIGHT,0,0,,,1,10000,
60000882,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,15,,LIGHT,0,0,,,1,10000,
60000883,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,LIGHT,0,0,,,1,10000,
60000891,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,10,,DARK,0,0,,,1,10000,
60000892,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,15,,DARK,0,0,,,1,10000,
60000893,,,,,,,HEAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,,,30,,DARK,0,0,,,1,10000,
60000901,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,FIRE,PHYSICS,0,0,,,,1,10000,
60000902,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,FIRE,PHYSICS,0,0,,,,1,10000,
60000903,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,FIRE,PHYSICS,0,0,,,,1,10000,
60000911,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,ICE,PHYSICS,0,0,,,,1,10000,
60000912,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,ICE,PHYSICS,0,0,,,,1,10000,
60000913,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,ICE,PHYSICS,0,0,,,,1,10000,
60000921,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,WIND,PHYSICS,0,0,,,,1,10000,
60000922,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,WIND,PHYSICS,0,0,,,,1,10000,
60000923,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,WIND,PHYSICS,0,0,,,,1,10000,
60000931,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,LIGHT,PHYSICS,0,0,,,,1,10000,
60000932,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,LIGHT,PHYSICS,0,0,,,,1,10000,
60000933,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,LIGHT,PHYSICS,0,0,,,,1,10000,
60000941,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,DARK,PHYSICS,0,0,,,,1,10000,
60000942,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,DARK,PHYSICS,0,0,,,,1,10000,
60000943,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,DARK,PHYSICS,0,0,,,,1,10000,
60000951,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,FIRE,MAGIC,0,0,,,,1,10000,
60000952,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,FIRE,MAGIC,0,0,,,,1,10000,
60000953,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,FIRE,MAGIC,0,0,,,,1,10000,
60000961,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,ICE,MAGIC,0,0,,,,1,10000,
60000962,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,ICE,MAGIC,0,0,,,,1,10000,
60000963,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,ICE,MAGIC,0,0,,,,1,10000,
60000971,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,WIND,MAGIC,0,0,,,,1,10000,
60000972,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,WIND,MAGIC,0,0,,,,1,10000,
60000973,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,WIND,MAGIC,0,0,,,,1,10000,
60000981,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,LIGHT,MAGIC,0,0,,,,1,10000,
60000982,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,LIGHT,MAGIC,0,0,,,,1,10000,
60000983,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,LIGHT,MAGIC,0,0,,,,1,10000,
60000991,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,DARK,MAGIC,0,0,,,,1,10000,
60000992,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,DARK,MAGIC,0,0,,,,1,10000,
60000993,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,30,,DARK,MAGIC,0,0,,,,1,10000,
60001001,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,FIRE,ALL,0,0,,,,1,10000,
60001002,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,FIRE,ALL,0,0,,,,1,10000,
60001003,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,FIRE,ALL,0,0,,,,1,10000,
60001011,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,ICE,ALL,0,0,,,,1,10000,
60001012,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,ICE,ALL,0,0,,,,1,10000,
60001013,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,ICE,ALL,0,0,,,,1,10000,
60001021,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,WIND,ALL,0,0,,,,1,10000,
60001022,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,WIND,ALL,0,0,,,,1,10000,
60001023,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,WIND,ALL,0,0,,,,1,10000,
60001031,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,LIGHT,ALL,0,0,,,,1,10000,
60001032,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,LIGHT,ALL,0,0,,,,1,10000,
60001033,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,LIGHT,ALL,0,0,,,,1,10000,
60001041,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,DARK,ALL,0,0,,,,1,10000,
60001042,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,DARK,ALL,0,0,,,,1,10000,
60001043,,,,,,,CRITICAL_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,10,,DARK,ALL,0,0,,,,1,10000,
60001051,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,FIRE_ICE,PHYSICS,0,0,,1,10000,
60001052,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,,,FIRE_ICE,PHYSICS,0,0,,1,10000,
60001053,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,FIRE_ICE,PHYSICS,0,0,,1,10000,
60001061,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,FIRE_WIND,PHYSICS,0,0,,1,10000,
60001062,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,,,FIRE_WIND,PHYSICS,0,0,,1,10000,
60001063,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,FIRE_WIND,PHYSICS,0,0,,1,10000,
60001071,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,FIRE_LIGHT,PHYSICS,0,0,,1,10000,
60001072,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,,,FIRE_LIGHT,PHYSICS,0,0,,1,10000,
60001073,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,FIRE_LIGHT,PHYSICS,0,0,,1,10000,
60001081,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,FIRE_DARK,PHYSICS,0,0,,1,10000,
60001082,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,,,FIRE_DARK,PHYSICS,0,0,,1,10000,
60001083,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,FIRE_DARK,PHYSICS,0,0,,1,10000,
60001091,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,ICE_WIND,PHYSICS,0,0,,1,10000,
60001092,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,,,ICE_WIND,PHYSICS,0,0,,1,10000,
60001093,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,ICE_WIND,PHYSICS,0,0,,1,10000,
60001101,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,ICE_LIGHT,PHYSICS,0,0,,1,10000,
60001102,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,,,ICE_LIGHT,PHYSICS,0,0,,1,10000,
60001103,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,ICE_LIGHT,PHYSICS,0,0,,1,10000,
60001111,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,ICE_DARK,PHYSICS,0,0,,1,10000,
60001112,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,7,,,,ICE_DARK,PHYSICS,0,0,,1,10000,
60001113,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,15,,,,ICE_DARK,PHYSICS,0,0,,1,10000,
60001121,,,,,,,DAMAGE_BOOST,SELECT,,1,1,1,1,1,1,1,1,1,99,5,,,,WIND_LIGHT,PHYSICS,0,0,,1,10000,
