#ID,基カードID,同カードID,冠名,メイン名,スタックか？,レアリティ,コスト,パラメータ,,,,,,,,,,,,レベル最大,ホロレベル最大,マスターホロ,忠誠度最大,名声最大,名声ボーナス係数,通常スキルID,アーサーボーナススキルID,ジョブボーナススキルID,スキルLv上限,スキルｶｯﾄｲﾝID,PictID,,,,拡大画像,ホロタイプ,経験値ID,売却値段,合成素材フラグ,売却素材フラグ,フレーバーテキスト,イラストレーター,声優,プロフィール（データ）,,,,,,,,,,,,,,,見た目（通常）,,,,,,,,,,,,,見た目（親密度MAX）,,,,,,,,,,,,,騎士セリフ,,,,,,,,,,,,,,,ボイスID,,,,,,,,,,ダウンロード中表示,
#,,,,,,,,HP,成長限界HP,忠誠度MAXボーナス,ATK,成長限界ATK,忠誠度MAXボーナス,INT,成長限界INT,忠誠度MAXボーナス,MND,成長限界MND,忠誠度MAXボーナス,,,,,,,,,,,,通常,種別,MAX,種別,サイズ,,LVUP,,,,,,,性別,3S/B,3S/W,3S/H,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,ダウンロード中,ガチャと新規入手,進化合成,騎士LvUP,スキルLvUP,騎士LvMAX,探索出発,探索アーサー支援,探索宝箱,探索強敵,忠誠度UP,忠誠度MAX,スキル発動（攻妨特）,スキル発動（回支防）,コンティニュー,挨拶,騎士LvUP,探索出発,未：探索アーサー支援[代：挨拶],探索宝箱,未：探索強敵[代：探索出発],未：忠誠度UP[代：騎士LvUP],スキル発動（物魔妨特）,スキル発動（回支防）,コンティニュー,,
#レアリティ参照用ダミー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000183,10000183,10000182,殲滅の騎士,第二型ラモラック,,RARE,0,135,200,0,22,33,0,22,33,0,22,33,0,30,35,,100,50,500,13200021,13200022,,1,1,10000183,0,10000183,1,M,10,103,1000,,,単身で敵軍の一部隊を軽々と壊滅させ<br>るほどの力を持ちながら、照準の甘さ<br>から味方まで巻き込むおそれのあるリ<br>スクの大きな騎士。精神面の再調整の<br>ため、妖精や魔女の技術にすがろうと<br>している節がある。直情径行が形を<br>持ったような単純な性格の持ち主だが、<br>手練手管に長けた一部のお姉様方から<br>は、かえって新鮮に映るものらしい。,東柚己,村田 太志,MALE,81,72,89,178,63,RIGHT,,,,,,,,,男性,C:81、W:72、H:89,178cm,63kg,右,,,,,,,,,男性,C:81、W:72、H:89,178cm,63kg,右,,,,,,,,,頭使って戦うなんてムリだ！　そういうのは<br>お前らに任せるから、俺はまっすぐ、ひたすら<br>敵を打ち払う兵器でいい。適材適所ってヤツだ。,難しいことは抜きにして<br>とりあえず戦わせろよ。なっ？,俺だって多少は賢くなってるぞ？<br>戦場でそれを証明してやる。,みなぎる力を抑えられないな。<br>早く戦いたい。,我ながら強力な技を身に<br>つけたものだ。精度も上げてくぞ。,より険しい戦場で戦うために、<br>俺はさらに強くなるぞ、アーサー！,お宝や遺跡なんかどうでもいい。<br>俺より強いヤツを見つけるぞ。,次の戦いまでは、お前の支援に<br>回ろう。だから早く戦わせろよ？,誰かに拾ってもらってこその宝箱だ。<br>アーサーに拾われれば本望だろう。,強敵だな。俺の全力を試すのに<br>ふさわしい相手だ。,アーサーは俺の誇りだ。お前に仕える<br>騎士となれて、俺は幸せ者だな。,お前もなかなかいい腕をしているな。<br>俺と模擬戦でもしないか？　実力の高い者と<br>戦うのはいい経験にもなるし…さっそくやるぞ！,味方ごと吹き飛ばしてやる！,アーサー、前に出すぎだ！,こうなったら、勝つまでやるぞ！　,600740010,600740020,600740030,600740010,600740050,600740030,600740020,600740080,600740080,600740100,,
10000184,10000184,10000182,暴風の殲滅者,第二型ラモラック,,SUPERRARE,0,210,350,0,35,58,0,35,58,0,35,58,0,40,45,,100,70,500,13200031,13200032,,1,1,10000184,0,10000184,1,L,10,104,5000,,,単身で敵軍の一部隊を軽々と壊滅させ<br>るほどの力を持ちながら、照準の甘さ<br>から味方まで巻き込むおそれのあるリ<br>スクの大きな騎士。精神面の再調整の<br>ため、妖精や魔女の技術にすがろうと<br>している節がある。直情径行が形を<br>持ったような単純な性格の持ち主だが、<br>手練手管に長けた一部のお姉様方から<br>は、かえって新鮮に映るものらしい。,東柚己,村田 太志,MALE,81,72,89,178,63,RIGHT,,,,,,,,,男性,C:81、W:72、H:89,178cm,63kg,右,,,,,,,,,男性,C:81、W:72、H:89,178cm,63kg,右,,,,,,,,,っく……報告書というのは、かなり難しいな。<br>こんなものを毎日書くくらいなら、戦場で<br>討ち死にしたほうがマシだ。助けてくれっ！,敵も味方も、まとめて<br>ぶっ飛ばしちまうけど、よろしくな！,戦なら俺に任せろ。<br>それ以外は他のヤツに任せろ！,敵を喰らった分だけ強くなるぞ。<br>まだまだ戦い足りないけどな。,これですこしは味方を巻き込まずに<br>済むはずだ。,これが俺の真の実力だ！<br>どんなヤツも蹴散らしてやる。,今日はお前の護衛役だ。<br>退屈させないでくれよ？,周囲への警戒は怠るなよ。<br>いつでも戦えるようにはしておけ。,この宝箱、重いな…。何かいいものが<br>入ってるんじゃないか？,大物だな。<br>ヤツを倒せば手柄も大きいぞ。,アーサーよ、俺を気高き戦場へ<br>導いてくれ。お前ならできるハズだ。,お前の迷いなき剣が、俺たち騎士を同じ道へ<br>導いているのだろう。お前になら、誰もが命を<br>預けられると本気で思っているだろうさ。,戦いは理屈じゃない！　力が全てだ！,俺の出番は残しておいてくれよ。,傷つかずにこの国を守れるものか…！,600740010,600740020,600740030,600740010,600740050,600740030,600740020,600740080,600740080,600740100,,
10000030,10000030,10000030,騎士,支援型リネット,,HIGHNORMAL,0,130,216,0,0,0,0,22,36,0,0,0,0,20,25,,100,30,500,13200111,13200112,,1,0,10000030,0,10000030,1,S,10,102,500,,,本人ではなく、特殊な水晶球を介して<br>召喚した無数の兵士達をけしかける事<br>で戦う特殊な騎士。名目上はリオネス<br>の護衛だが、因子構造が近い事もあっ<br>て実際には姉妹のように仲が良い。間<br>に割って入ってきた（とリネットが思<br>い込んでいる）ガレスが気に喰わない<br>が、理不尽な命令でもあれこれ聞いて<br>くれるガレスを憎み切れない。,モタ,新井 里美,FEMALE,68,55,75,148,43,AMBIDEXTER,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,ねえ、リオネス様はどこ？<br>あのお方に近づく輩はみーんな<br>ぶん殴ってやるんだから！！,あたし？　リネットよ。<br>そんなことより、リオネス様はどこ？,あたし？　リネットよ。<br>そんなことより、リオネス様はどこ？,あんたのためにじゃない。<br>リオネス様のために強くなったの。,ガレスを殴るスキルも<br>上がんないかしら？,これでガレスを半殺しにできる！,どこに行くの？<br>ま、別にキョウミないけど。,特別に助けてあげる。,宝箱あったけど、<br>開けとく？,勝負挑むのはかまわないけど、<br>引き際はわきまえてよね。,あたしはリオネス様、<br>一筋なのに……！,王として……！<br>少し認めてあげただけよ……。,ぶん殴ってやる！,頼りなさ過ぎ……！,つまらない王ね……。,600090010,600090020,600090030,600090010,600090050,600090030,600090020,600090080,600090080,600090100,,
10000031,10000031,10000030,召喚の騎士,支援型リネット,,RARE,0,270,400,0,0,0,0,45,67,0,0,0,0,30,35,,100,50,500,13200121,13200122,,1,1,10000031,0,10000031,1,M,10,103,1000,,,本人ではなく、特殊な水晶球を介して<br>召喚した無数の兵士達をけしかける事<br>で戦う特殊な騎士。名目上はリオネス<br>の護衛だが、因子構造が近い事もあっ<br>て実際には姉妹のように仲が良い。間<br>に割って入ってきた（とリネットが思<br>い込んでいる）ガレスが気に喰わない<br>が、理不尽な命令でもあれこれ聞いて<br>くれるガレスを憎み切れない。,モタ,新井 里美,FEMALE,68,55,75,148,43,AMBIDEXTER,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,ガレスだけは許せない……！<br>リオネス様にあれ以上近づこうとするなら<br>ボコボコにしてやる！！,あたしはリネット。<br>リオネス様と強い絆で結ばれてるの。,この新しい姿を早く<br>リオネス様に見せなきゃ！,リオネス様への愛が、<br>あたしを強くする……！,あたしの真のスキルは、<br>リオネス様を愛する気持ち！,この力でリオネス様にたかる<br>ハエ共を駆除してみせる！,リオネス様の気に入るものが<br>見つかるといいなー。,あー、もー……<br>なにやってんだか……。,いいものが入ってたら、<br>リオネス様のものね。,むっ！　危ないのがいる……。<br>リオネス様には会わせられない。,けっこう……、<br>いいとこあるじゃない……。,さすが、あたしが仕えてる<br>王ってだけはあるわね……。,半殺しがいい？全殺しがいい？,何やってんの、もう……。,リオネス様ならこんなことにはならないわ。,600090010,600090020,600090030,600090010,600090050,600090030,600090020,600090080,600090080,600090100,,
10000032,10000032,10000030,剣の召喚士,支援型リネット,,SUPERRARE,0,419,699,0,0,0,0,70,117,0,0,0,0,40,45,,100,70,500,13200131,13200132,,1,1,10000032,0,10000032,1,L,10,104,5000,,,本人ではなく、特殊な水晶球を介して<br>召喚した無数の兵士達をけしかける事<br>で戦う特殊な騎士。名目上はリオネス<br>の護衛だが、因子構造が近い事もあっ<br>て実際には姉妹のように仲が良い。間<br>に割って入ってきた（とリネットが思<br>い込んでいる）ガレスが気に喰わない<br>が、理不尽な命令でもあれこれ聞いて<br>くれるガレスを憎み切れない。,モタ,新井 里美,FEMALE,68,55,75,148,43,AMBIDEXTER,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,えっ……？　リオネス様の魅力……？<br>品の良いところ、高圧的なところ、それから<br>……ちょっと！　最後まで聞きなさい！,リオネス様はあんたの軍にいるの？<br>いないなら、すぐ手に入れなさい。,あたしはリオネス様のために<br>生まれ変わったのよ。,このまま成長すれば、あたしも<br>リオネス様にふさわしいレディに。,これでもっとリオネス様の<br>お役に立てる！,リオネス様のためなら、<br>どこまでだって強くなれる！,本当はリオネス様と<br>二人っきりで行きたいのに。,死なれたら困るから、助けるだけ。<br>勘違いしないでよ。,宝箱よ。<br>中身確認してみる？,強敵だけど戦うの？<br>死んでも知らないよ。,まあ、褒められるのは<br>悪い気しないけど……。,単なるお世辞だけど……、<br>まあまあいい王様だと思うよ。,とどめの一撃！！,しっかりしてよね！,そんなカンタンに倒れちゃっていいんだ？,600090010,600090020,600090030,600090010,600090050,600090030,600090020,600090080,600090080,600090100,,
10000033,10000033,10000030,剣聖の召喚姫,支援型リネット,,ULTRARARE,0,779,1154,0,0,0,0,130,192,0,0,0,0,50,55,,100,90,500,13200141,13200142,,1,1,10000033,0,10000033,1,L,10,105,15000,,,本人ではなく、特殊な水晶球を介して<br>召喚した無数の兵士達をけしかける事<br>で戦う特殊な騎士。名目上はリオネス<br>の護衛だが、因子構造が近い事もあっ<br>て実際には姉妹のように仲が良い。間<br>に割って入ってきた（とリネットが思<br>い込んでいる）ガレスが気に喰わない<br>が、理不尽な命令でもあれこれ聞いて<br>くれるガレスを憎み切れない。,モタ,新井 里美,FEMALE,68,55,75,148,43,AMBIDEXTER,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,女性,B:68、W:55、H:75,148cm,43kg,両利き,,,,,,,,,えっ？　女の子同士はおかしいって？<br>何がおかしいのよ？　どこがおかしいか、<br>あたしの目を見て言ってみて！　さあ！,あたしはリオネス様と共に生きる女、<br>リネットよ。,あんた達といっしょにいるのも、<br>悪くないかもね。,この力で、リオネス様のついでに<br>あんたも守ってあげる。,このスキル、あんたのために<br>使ってあげてもいいけど。,あたしの強さはこれで限界だけど、<br>リオネス様への愛は無限大よ！,この旅は愛を探求する旅よ。,あたし、あんたにも<br>死んでほしくないみたい。,宝箱だけど……、<br>一応、罠には気をつけなさいよ。,あいつと戦うつもり？<br>無理して死なないでよ。,あんたも、まあまあね。<br>リオネス様ほどじゃないけど。,リオネス様の次くらいに<br>考えてあげてもいいわ。,この一撃をリオネス様へ捧ぐ！,王のために働きなさいよ！,守れなかった、あたしのせい……。,600090010,600090020,600090030,600090010,600090050,600090030,600090020,600090080,600090080,600090100,1,
10000131,10000131,10000131,騎士,第二型アイアンサイド,,RARE,0,270,400,0,45,67,0,0,0,0,0,0,0,30,35,,100,50,500,14400031,14400032,,1,1,10000131,0,10000131,1,M,10,103,1000,,,太陽の光によって己の防御力を増幅さ<br>せるらしいが、最大の特徴は自身が生<br>み出す憎悪や怨嗟を攻撃力に変化させ<br>る能力。ランスロット、ガウェインに<br>身内を殺害されたと勘違いしており、<br>そこから生まれる自家生産の憎悪によ<br>って圧倒的な力を振るい続ける。<br>……ただし、この勘違いの憎悪につい<br>ては、彼女の力を引き出すため、第三<br>者が作為的に入力したものという噂も。,ミルサ,明坂 聡美,FEMALE,83,54,85,154,51,AMBIDEXTER,,,,,,,,,女性,B:83、W:54、H:85,154cm,51kg,両利き,,,,,,,,,女性,B:83、W:54、H:85,154cm,51kg,両利き,,,,,,,,,騎士を連れた王…。あなた、アーサーね？<br>そう、私をも従わせようということかしら？<br>…いいわよ。その方が、私も都合がいいから。,いいわよ。王を守ればいいのね。<br>私ひとりいれば充分だから。,いいわよ。王を守ればいいのね。<br>私ひとりいれば充分だから。,まだ届かない。もっと確実に、<br>奴らにとどめを刺せるように…。,だから言ったでしょう？<br>私ひとりいれば充分って。,強くなるのも気持ちがいいものね。<br>敵も、あなたも逃がさないから。,こんな任務でも耐えましょう。<br>好機が訪れるそのときまで。,背中に気をつけなさい。<br>間違えて刺しても知らないから。,箱の方も、回収しておきましょう。<br>いずれ使うときが来るはずよ。,王の周りは強敵だらけね。<br>隙を見せないようにしなさい。,そう、あなたも恨みを抱えてるのね。<br>私にも居るのよ。殺したい騎士が。,どうして恨んでいるのかなんて覚えていないわ。<br>仇も仲間も本当は居なかったのかもしれない。<br>でも、私にはそれしかないの。,七本の腕からは、逃れられないわよ。,安心なさい、楽にしてあげるわ。,どうして？　これで終わりなの？,600420010,600420020,600420030,600420010,600420050,600420030,600420020,600420090,600420090,600420100,,
10000132,10000132,10000131,憎悪の騎士,第二型アイアンサイド,,SUPERRARE,0,419,699,0,70,117,0,0,0,0,0,0,0,40,45,,100,70,500,14400041,14400042,,1,1,10000132,0,10000132,1,L,10,104,5000,,,太陽の光によって己の防御力を増幅さ<br>せるらしいが、最大の特徴は自身が生<br>み出す憎悪や怨嗟を攻撃力に変化させ<br>る能力。ランスロット、ガウェインに<br>身内を殺害されたと勘違いしており、<br>そこから生まれる自家生産の憎悪によ<br>って圧倒的な力を振るい続ける。<br>……ただし、この勘違いの憎悪につい<br>ては、彼女の力を引き出すため、第三<br>者が作為的に入力したものという噂も。,ミルサ,明坂 聡美,FEMALE,83,54,85,154,51,AMBIDEXTER,,,,,,,,,女性,B:83、W:54、H:85,154cm,51kg,両利き,,,,,,,,,女性,B:83、W:54、H:85,154cm,51kg,両利き,,,,,,,,,私の悲願がもうすぐ叶う。<br>もう少しで、奴らの喉元に手が届く。<br>いいのよね…。これで、楽になれるのよね…？,この想いだけは、遂げてみせるわ。<br>あなたは強力してくれるわよね…？,泥水をすすってでも、私は生きるわ。<br>全ては、復讐のため。,そうよ、あなたの為に強くなるの。<br>私とあなたの敵だもの…。,これを望んでいたんでしょう？<br>もっと喜んだらどうかしら？,そう、これでいい。これでいいの。<br>これで、何もかも終わらせられる…。,王ひとりに行かせはしないわ。<br>あなたが死んだら困るもの。,手伝うわ。その代わり、私のときも<br>手伝ってくれるわよね？,大きな棺桶を作りましょうか？<br>それとも、小分けにしましょうか…。,…あいつ、邪魔ね。<br>私が行ってきましょうか？,王の元には、私が居ればいいのよ。<br>ねえ、そう思うでしょう。あなた？,あの騎士達のことを、私は永遠に忘れない。<br>同朋のためにも、同じように殺してやる…。<br>王だからって邪魔したら、分かるわよね。,息もできないくらい、抱いてあげる。,王のために全てを捧げなさい。,嘘はやめて。やり直しましょう…？　ね？,600420010,600420020,600420030,600420010,600420050,600420030,600420020,600420090,600420090,600420100,,
10000153,10000153,10000153,騎士,支援型エヴェイン,,RARE,0,270,400,0,0,0,0,0,0,0,45,67,0,30,35,,100,50,500,14300031,14300032,,1,1,10000153,0,10000153,1,S,10,103,1000,,,先端に宝石を取りつけた杖から放つ、<br>魔法の大技を連発する戦法を好む騎士。<br>その運用に際しては『彼女に合わせる』<br>事を念頭に置かなければ爆発に巻き込<br>まれるのは避けられない。ボールスと<br>掛け合わせるのに必要な因子を開発す<br>る目的で生み出されたのだが、実戦向<br>けのセオリーからかけ離れたそのピー<br>キーな因子構造から、膠着した戦況を<br>引っ掻き回すのには極めて有用と評価<br>されている。時折、浮気性のボールス<br>をぶっ飛ばしている光景も？,兎塚エイジ,悠木 碧,FEMALE,95,58,83,155,49,RIGHT,,,,,,,,,女性,B:95、W:58、H:83,155cm,49kg,右,,,,,,,,,女性,B:95、W:58、H:83,155cm,49kg,右,,,,,,,,,あら、私の顔に何かついていますか？<br>その、あまり見られると恥ずかしいです…。<br>ぶっとばされたくなければ、そのおつもりで。,あなたの補佐、ですか？<br>不本意ですが、やってみましょう。,あなたの補佐、ですか？<br>不本意ですが、やってみましょう。,そこは特に成長していませんよ？<br>まぁ、見るだけなら構いませんけど。,はぁ、地道な努力ですか。<br>それは素敵なことなんでしょうねぇ。,この辺りで十分ではないですか？<br>まだ上を目指します？　うぇー…。,ちゃっちゃと終わらせましょう。<br>後でデザートをいただけますか？,全部まとめてぶっ飛ばしますよー。<br>あなたは下がっててくださいねー。,あー、都合よくあんなところに、お宝<br>ザクザク入った宝箱がー。,あ、ちょっと待ってください。<br>やばそうなんで回れー、右ー。,これからも、ですかぁ？<br>まぁ、恋と敬意は別腹と言いますし。,私なんかに感謝されて、王は嬉しいですか？<br>ふーん、王ってイジメられるのが好きなタイプ<br>なんですね。,私の顔に何かついてるのかしら？,私の分もお願いしますねー。,どうしよう。この王様、本当に頼りない…。,600640010,600640020,600640030,600640010,600640050,600640030,600640020,600640090,600640090,600640100,,
10000154,10000154,10000153,光芒の騎士,支援型エヴェイン,,SUPERRARE,0,419,699,0,0,0,0,0,0,0,70,117,0,40,45,,100,70,500,14300041,14300042,,1,1,10000154,0,10000154,1,M,10,104,5000,,,先端に宝石を取りつけた杖から放つ、<br>魔法の大技を連発する戦法を好む騎士。<br>その運用に際しては『彼女に合わせる』<br>事を念頭に置かなければ爆発に巻き込<br>まれるのは避けられない。ボールスと<br>掛け合わせるのに必要な因子を開発す<br>る目的で生み出されたのだが、実戦向<br>けのセオリーからかけ離れたそのピー<br>キーな因子構造から、膠着した戦況を<br>引っ掻き回すのには極めて有用と評価<br>されている。時折、浮気性のボールス<br>をぶっ飛ばしている光景も？,兎塚エイジ,悠木 碧,FEMALE,95,58,83,155,49,RIGHT,,,,,,,,,女性,B:95、W:58、H:83,155cm,49kg,右,,,,,,,,,女性,B:95、W:58、H:83,155cm,49kg,右,,,,,,,,,王に仕えてブリテンのために戦う、ですか。<br>うーん、素敵な心がけだとは思いますけど、<br>できないことはやらない主義なんですよねー。,務まりますかねぇ。ああ、いえ、<br>あなたが王として、って話です。,これが乙女に対しての扱いですか？<br>そんなことじゃモテませんよ？,ここのところ肩が凝ってしまって。<br>何か心当たりはありません？,騎士は、自分の舞台を選びません。<br>自分のために作り替えるのです。,出し惜しみなんてしてないですよ？<br>ホントですよ。ウソじゃないってー。,行くんですか？　あっちへですか？<br>向こう、敵出ますけどいいんですか？,よそ見してると当たりますよー？<br>主に私のでっかいのが。,えー？　拾うんですか？<br>ただでさえいろいろ重いのにー。,ちょっとまずい感じですねー。<br>どうします？　戦う？　逃げる？,はいはい王様のこと好きですよー。<br>とってもとっても好きですよー。,最近体が軽いんですよ。あなたのマッサージが<br>効いているのかもしれませんねぇ。<br>この際、王と騎士を交代してみますか？,それではいっそ、フルスイングで。,さあさあ、とっとと働く働く。,らしくないんじゃないです？,600640010,600640020,600640030,600640010,600640050,600640030,600640020,600640090,600640090,600640100,,
10000155,10000155,10000153,光芒の魔導姫,支援型エヴェイン,,ULTRARARE,0,779,1154,0,0,0,0,0,0,0,130,192,0,50,55,,100,90,500,14300051,14300052,,1,1,10000155,0,10000155,1,L,10,105,15000,,,先端に宝石を取りつけた杖から放つ、<br>魔法の大技を連発する戦法を好む騎士。<br>その運用に際しては『彼女に合わせる』<br>事を念頭に置かなければ爆発に巻き込<br>まれるのは避けられない。ボールスと<br>掛け合わせるのに必要な因子を開発す<br>る目的で生み出されたのだが、実戦向<br>けのセオリーからかけ離れたそのピー<br>キーな因子構造から、膠着した戦況を<br>引っ掻き回すのには極めて有用と評価<br>されている。時折、浮気性のボールス<br>をぶっ飛ばしている光景も？,兎塚エイジ,悠木 碧,FEMALE,95,58,83,155,49,RIGHT,,,,,,,,,女性,B:95、W:58、H:83,155cm,49kg,右,,,,,,,,,女性,B:95、W:58、H:83,155cm,49kg,右,,,,,,,,,お任せしたいんですけど、不安なんですよ。<br>だってなんだか皆さん、世間からズレている<br>ような気がして、心配なんですよねー。,私が触っていいって言うと思います？<br>見るだけで満足してくださいね。,人使いが荒いんですねぇ。<br>ま、どうでもいいですけど。,少し窮屈になってきましたね。<br>新しい甲冑を用意いただけます？,力んでもいいことなんてありません。<br>のんびり抜いてやりますよ。,さーて、そろそろ本気を<br>出しましょうかねー。,あーうー…。肩こりがひどいんです。<br>出発はマッサージ後にしてください。,あ、そうそう。見てられないときは<br>目隠ししててくださいね♪,ねえ、どうせなら拾っておきません？<br>私は持ちませんけどね。,逃げましょうそうしましょう！<br>ひっ…！　気付かれちゃったー？,視線を感じますけど、いいですよ。<br>仕方ないから不問にしてあげます。,えっ、私に感謝してるですか？<br>どうしましょう、そういった趣味はないんですが<br>そういう時は素直に褒めてくださいね。,うおりゃああ！　コ、コホン…。,がんばってねぇ♪　…ふう、言えた。,もうちょっとだけ行きましょう？　ね、ね？,600640010,600640020,600640030,600640010,600640050,600640030,600640020,600640090,600640090,600640100,,
10000078,10000078,10000078,騎士,第二型エクタードマリス,,HIGHNORMAL,0,65,108,0,11,18,0,11,18,0,11,18,0,20,25,,100,30,500,14200081,14200082,,1,0,10000078,0,10000078,1,S,10,102,500,,,ランスロットを支援する目的で製造さ<br>れたが、ランスロット自身が完璧過ぎ<br>たために行き場を失った騎士。魔法の<br>鎧をまとい、常に安定した戦果をあげ<br>る事で知られるが、実は本人は堅牢な<br>防御力よりもスピードを重視する戦術<br>の方が得意で、感情のリミッターが振<br>り切れると、自ら鎧の装甲を取り外し<br>て戦い始める。,akka,浪川 大輔,MALE,75,70,81,152,47,RIGHT,,,,,,,,,男性,C:75、W:70、H:81,152cm,47kg,右,,,,,,,,,男性,C:75、W:70、H:81,152cm,47kg,右,,,,,,,,,ランスロット様みたいな立派な騎士になれたら、<br>って思うんですけど、僕にはまだまだみたいで。<br>だから、王様のところで修業させてくださいっ！,エクタードマリスって言います！<br>僕のこと、よろしくお願いしますっ！,エクタードマリスって言います！<br>僕のこと、よろしくお願いしますっ！,強くなるって奥が深いんですね！<br>もっとがんばらないと！,今ので少しだけ掴めた気がします。<br>もう一本、お願いしますっ！,他の騎士の皆さんは、きっとこんな<br>もんじゃないんですよね。…よしっ！,さっそく探索ですかっ！？<br>よーし、がんばるぞーっ！,僕、お手伝いしますっ！<br>王様もがんばってください！,お宝を見つけました！<br>うーん、どうやって使うんでしょう？,なんだか強い敵みたいですよっ！？<br>落ち着いて、深呼吸、深呼吸…。,えへへ。王様のおかげで、いろんな<br>ことが分かるようになりましたっ！,王様のところで修業してたら、僕にはまだまだ<br>足りないことだらけだって気づいたんです！<br>追いつくためにも、がんばらないとっ！,どいてください！　やぁっ！,皆さん！　戦いはこれからですよ！,まだっ！　まだまだ行けますっ！,600220010,600220020,600220030,600220010,600220050,600220030,600220020,600220080,600220080,600220100,,
10000079,10000079,10000078,魔鎧の騎士,第二型エクタードマリス,,RARE,0,135,200,0,22,33,0,22,33,0,22,33,0,30,35,,100,50,500,14200091,14200092,,1,1,10000079,0,10000079,1,M,10,103,1000,,,ランスロットを支援する目的で製造さ<br>れたが、ランスロット自身が完璧過ぎ<br>たために行き場を失った騎士。魔法の<br>鎧をまとい、常に安定した戦果をあげ<br>る事で知られるが、実は本人は堅牢な<br>防御力よりもスピードを重視する戦術<br>の方が得意で、感情のリミッターが振<br>り切れると、自ら鎧の装甲を取り外し<br>て戦い始める。,akka,浪川 大輔,MALE,75,70,81,152,47,RIGHT,,,,,,,,,男性,C:75、W:70、H:81,152cm,47kg,右,,,,,,,,,男性,C:75、W:70、H:81,152cm,47kg,右,,,,,,,,,立ち回り方や騎士の心得は、王様や、騎士の<br>皆さんにたくさん教えてもらってるんです。<br>いろんな人が、僕の師匠なんですっ！,王様にこの身を尽くしますっ！<br>えへへ、これも教えてもらいました。,えへへ。まだまだですけど、剣術も<br>作法も、身につけていきます！,毎日の訓練、今日はおしまいです！<br>訓練ノートに書いておかなきゃ。,以前、技を盗めって言われたんです。<br>そんな悪いこと、僕にはとても…。,なかなか成長を実感できなくて。<br>もっとできると思うんですけど…。,よしっ、僕の出番ですね！？<br>修業の成果をお見せしますっ！,今の僕にできるのは、<br>これくらいですけどっ！,王様、宝箱を取ってきましたよ。<br>中身が気になりますねっ。,怖くなんてないですっ！<br>僕は大丈夫です、行けますっ！,学ぶたびに、王様や皆さんがすごい人<br>なんだって気づかされてます！,やっぱり僕ではランスロット様の補佐なんて…。<br>いや、ダメですね。気持ちが後ろ向きになったら<br>前に向いて進めませんからっ！,話を聞いてもらえないのならっ！,つらくても踏ん張ってくださいっ！,やっぱりダメ…？　いや、そんなはず！,600220010,600220020,600220030,600220010,600220050,600220030,600220020,600220080,600220080,600220100,,
